species	type	status
MAZ	T	normal
MTA1_PF00249(ENST00000405646)	D	spliced
TP53	T	normal
CREBBP_PF09030	D	normal
CDK7_PF00069	D	normal
CDK7	P	normal
PITX1	P	normal
PITX1_PF00046	D	normal
MTA2	P	normal
MTA2_PF00320	D	normal
MTA2_PF17226	D	normal
RECQL4	P	normal
RECQL4_PF00271	D	normal
RECQL4_PF00270	D	normal
MTA3	P	normal
MTA3_PF00320(ENST00000406652_ENST00000405094)	D	spliced
MTA3_PF17226(ENST00000406652_ENST00000405094)	D	spliced
NCOA3	T	normal
NCOA3_PF08815	D	normal
HDAC1_PF00850	D	normal
HDAC1	P	normal
MTA2_PF01448	D	normal
MAPK1_PF00069	D	normal
MAPK1	P	normal
JUN	T	normal
HDAC2_PF00850(ENST00000368632)	D	spliced
HDAC2	P	normal
RBBP7	P	normal
RBBP7_PF12265	D	normal
RBBP7_PF00400	D	normal
PRKCZ_PF00069	D	normal
PRKCZ	P	normal
IKBKB_PF00069	D	normal
IKBKB	P	normal
TLE4_PF00400	D	normal
TLE4	P	normal
MAPK8_PF00069	D	normal
MAPK8	P	normal
ESRRB	P	normal
ESRRB_PF00104	D	normal
NCOA3_PF08832	D	normal
ESRRB_PF00105	D	normal
MAPK14_PF00069(ENST00000468133)	D	spliced
MAPK14	P	normal
HIF1A	T	normal
FOS	T	normal
TFDP1	T	normal
TCF12	T	normal
SREBF1	T	normal
TFAP4	T	normal
PAX6	T	normal
CUX1	T	normal
HNF1A	T	normal
TCF7L2	T	normal
MBD2	T	normal
E2F4	T	normal
KLF3	T	normal
RBPJ	T	normal
FOXO1	T	normal
SREBF2	T	normal
HNF4A	T	normal
SP4	T	normal
KLF9	T	normal
FOXM1	T	normal
FOXO4	T	normal
FOXO3	T	normal
PPARA	T	normal
HNF4G	T	normal
ARID3A	T	normal
MEF2A	T	normal
SOX13	T	normal
